,city_state_country
2511,"Brooklnyn, NY, USA"
2512,"Liberty, NY, USA"
2513,"East Durham, NY, USA"
2514,"ROOSEVELT, NY, USA"
2515,"E Setauket, NY, USA"
2516,"East Schodack, NY, USA"
2517,"Livingston Manor, NY, USA"
2518,"Copake, NY, USA"
2519,"S Ozone Park, NY, USA"
2520,"Hewlett Harbor, NY, USA"
2521,"Hurley, NY, USA"
2522,"East Amherst, NY, USA"
2523,"Croton, NY, USA"
2524,"Central Valley, NY, USA"
2525,"Hannibal, NY, USA"
2526,"HASTINGS ON HUDSON, NY, USA"
2527,"Speonk, NY, USA"
2528,"Johnstown, NY, USA"
2529,"Hamden, NY, USA"
2530,"Verbank, NY, USA"
2531,"East Syracuse, NY, USA"
2532,"Dryden, NY, USA"
2533,"Glenham, NY, USA"
2534,"Redwood, NY, USA"
2535,"Brooktondale, NY, USA"
2536,"Norwood, NY, USA"
2537,"Malone, NY, USA"
2538,"Unadilla, NY, USA"
2539,"Fort Edwards, NY, USA"
2540,"East Aurora, NY, USA"
2541,"Salt Point, NY, USA"
2542,"Water Mill, NY, USA"
2543,"Cross River, NY, USA"
2544,"Rosalyn, NY, USA"
2545,"Wynantskill, NY, USA"
2546,"ROCKAWAY BEACH, NY, USA"
2547,"HAVERSTRAW, NY, USA"
2548,"Wappinger Falls, NY, USA"
2549,"South Jamesport, NY, USA"
2550,"East Meredith, NY, USA"
2551,"Victor, NY, USA"
2552,"N BABYLON, NY, USA"
2553,"New Rochell, NY, USA"
2554,"east islip, NY, USA"
2555,"montauk, NY, USA"
2556,"PORT JEFFERSON STATION, NY, USA"
2557,"massapequa, NY, USA"
2558,"wantagh, NY, USA"
2559,"Tillson, NY, USA"
2560,"Cobleskill, NY, USA"
2561,"Eastport, NY, USA"
2562,"COMMACK, NY, USA"
2563,"Blossdale, NY, USA"
2564,"Mexico, NY, USA"
2565,"Pine Plains, NY, USA"
2566,"Olean, NY, USA"
2567,"stony brook, NY, USA"
2568,"Poland, NY, USA"
2569,"Ticonderoga, NY, USA"
2570,"EAST MEADOW, NY, USA"
2571,"Springlfield Gardens, NY, USA"
2572,"Williamsville, NY, USA"
2573,"Suffern, NY, USA"
2574,"Ontario, NY, USA"
2575,"North Massapeqa, NY, USA"
2576,"Lyons, NY, USA"
2577,"Hastings-on-Hudson, NY, USA"
2578,"MANORVILLE, NY, USA"
2579,"brentwood, NY, USA"
2580,"Dewittville, NY, USA"
2581,"Parksville, NY, USA"
2582,"NORTH BELLMORE, NY, USA"
2583,"Spencer, NY, USA"
2584,"KATONAH, NY, USA"
2585,"Schaghticoke, NY, USA"
2586,"Angelica, NY, USA"
2587,"Ocean Beach, NY, USA"
2588,"Washingtonville, NY, USA"
2589,"Brewerton, NY, USA"
2590,"Franklin SQ, NY, USA"
2591,"RHINEBECK, NY, USA"
2592,"HICKSVILLE, NY, USA"
2593,"Mapseth, NY, USA"
2594,"Pittsford, NY, USA"
2595,"Dunkirk, NY, USA"
2596,"Pomona, NY, USA"
2597,"AMITYVILLE, NY, USA"
2598,"Lake Carmel, NY, USA"
2599,"Baldwinsville, NY, USA"
2600,"SLOATSBURG, NY, USA"
2601,"Tuckahoe, NY, USA"
2602,"Blooming Grove, NY, USA"
2603,"east hampton, NY, USA"
2604,"Getzville, NY, USA"
2605,"northport, NY, USA"
2606,"Freedom, NY, USA"
2607,"Tannerville, NY, USA"
2608,"Rockaway Point, NY, USA"
2609,"Cutchoque, NY, USA"
2610,"Depew, NY, USA"
2611,"Harrisville, NY, USA"
2612,"bronx, NY, USA"
2613,"Hermon, NY, USA"
2614,"Bliss, NY, USA"
2615,"Rensselaerville, NY, USA"
2616,"staten island, NY, USA"
2617,"WARRENSBURG, NY, USA"
2618,"Shokan, NY, USA"
2619,"Durham, NY, USA"
2620,"East Williston, NY, USA"
2621,"Staten island, NY, USA"
2622,"COLLEGE POINT, NY, USA"
2623,"Gdn City PK, NY, USA"
2624,"JACKSON HGTS NY, NY, USA"
2625,"Freeport, NY, USA"
2626,"Westbrookville, NY, USA"
2627,"Lexington, NY, USA"
2628,"Hyde Park, NY, USA"
2629,"Greenfield Center, NY, USA"
2630,"Springville, NY, USA"
2631,"NY, NY, USA"
2632,"Sagaponack, NY, USA"
2633,"CLAVERACK, NY, USA"
2634,"Cicero, NY, USA"
2635,"Hensonville, NY, USA"
2636,"Webster, NY, USA"
2637,"Remsen, NY, USA"
2638,"Erieville, NY, USA"
2639,"BELLEROSE, NY, USA"
2640,"WEST BABYLON, NY, USA"
2641,"williston park, NY, USA"
2642,"Yorkville, NY, USA"
2643,"EAST ELMHURST, NY, USA"
2644,"Harriman, NY, USA"
2645,"Wassaic, NY, USA"
2646,"Broooklyn, NY, USA"
2647,"mineola, NY, USA"
2648,"NOrthport, NY, USA"
2649,"Old Westbury, NY, USA"
2650,"Belrose, NY, USA"
2651,"Slingerlands, NY, USA"
2652,"CORTLANDT MNR, NY, USA"
2653,"Queens village, NY, USA"
2654,"FRANKLIN SQUARE, NY, USA"
2655,"ROCKY POINT, NY, USA"
2656,"Elka Park, NY, USA"
2657,"Callicoon Center, NY, USA"
2658,"BAYVILLE, NY, USA"
2659,"Eden, NY, USA"
2660,"Carthage, NY, USA"
2661,"babylon, NY, USA"
2662,"Pine Island, NY, USA"
2663,"Sunnyside, NY, USA"
2664,"FARMINGVILLE, NY, USA"
2665,"New Hampton, NY, USA"
2666,"Bloomfield, NY, USA"
2667,"Romulus, NY, USA"
2668,"SOUTH OZONE PARK, NY, USA"
2669,"GARNERVILLE, NY, USA"
2670,"Halesite, NY, USA"
2671,"Granville, NY, USA"
2672,"Oneonta, NY, USA"
2673,"SAG HARBOR, NY, USA"
2674,"Burdett, NY, USA"
2675,"BEACON, NY, USA"
2676,"Greenvale, NY, USA"
2677,"Harstdale, NY, USA"
2678,"Hastings-On-Hudson, NY, USA"
2679,"glen cove, NY, USA"
2680,"HOLBROOK, NY, USA"
2681,"HIGH FLS, NY, USA"
2682,"Cattaraugus, NY, USA"
2683,"Richmondville , NY 12149, NY, USA"
2684,"Fresh meadows, NY, USA"
2685,"jamaica, NY, USA"
2686,"bayshore, NY, USA"
2687,"NEW YORK, NY, USA"
2688,"Victory Mills, NY, USA"
2689,"Barryville, NY, USA"
2690,"Keene, NY, USA"
2691,"Cherry Plain, NY, USA"
2692,"Memphis, NY, USA"
2693,"Oneida Castle, NY, USA"
2694,"Massapqua, NY, USA"
2695,"Bemus Point, NY, USA"
2696,"Orient, NY, USA"
2697,"WANTAGH, NY, USA"
2698,"North Branch, NY, USA"
2699,"BROADALBIN, NY, USA"
2700,"West Kortright, NY, USA"
2701,"BRENTWOOD, NY, USA"
2702,"Blossvale, NY, USA"
2703,"Camden, NY, USA"
2704,"East Worcester, NY, USA"
2705,"Cortlandt Man, NY, USA"
2706,"MAYBROOK, NY, USA"
2707,"Fort Ann, NY, USA"
2708,"Piermont, NY, USA"
2709,"Gasport, NY, USA"
2710,"Napanoch, NY, USA"
2711,"Cragsmoor, NY, USA"
2712,"AIRMONT, NY, USA"
2713,"Briarwood, NY, USA"
2714,"Freeville, NY, USA"
2715,"WEST SAND LAKE, NY, USA"
2716,"CAMBRIA HEIGHTS, NY, USA"
2717,"Wingdale, NY, USA"
2718,"RYE, NY, USA"
2719,"Wilmington, NY, USA"
2720,"Corinth, NY, USA"
2721,"Conesus, NY, USA"
2722,"Monticello, NY, USA"
2723,"Enfield, NY, USA"
2724,"Clinton Corners, NY, USA"
2725,"Argyle, NY, USA"
2726,"Middleburgh, NY, USA"
2727,"Scottsville, NY, USA"
2728,"Narrowsburg, NY, USA"
2729,"Staatsburg, NY, USA"
2730,"Wanakena, NY, USA"
2731,"Cochecton, NY, USA"
2732,"NYACK, NY, USA"
2733,"Warrensburg, NY, USA"
2734,"FISHKILL, NY, USA"
2735,"Pulaski, NY, USA"
2736,"Whitesboro, NY, USA"
2737,"Macedon, NY, USA"
2738,"Goshen, NY, USA"
2739,"South Hempstead, NY, USA"
2740,"Poquott, NY, USA"
2741,"Village of Pelham, NY, USA"
2742,"Herkimer, NY, USA"
2743,"NILES, NY, USA"
2744,"Falconer, NY, USA"
2745,"Unionville, NY, USA"
2746,"MOHEGAN LAKE, NY, USA"
2747,"WARWICK, NY, USA"
2748,"Woodridge, NY, USA"
2749,"South Glens Falls, NY, USA"
2750,"Sloatsburg, NY, USA"
2751,"Howes Cave, NY, USA"
2752,"Port jefferson Station, NY, USA"
2753,"Campbell Hall, NY, USA"
2754,"Glenville, NY, USA"
2755,"New Hempstead, NY, USA"
2756,"Altmar, NY, USA"
2757,"Lake Ronk, NY, USA"
2758,"Wappingers, NY, USA"
2759,"Springfield gardens, NY, USA"
2760,"Alplaus, NY, USA"
2761,"bethpage, NY, USA"
2762,"ELMHURST, NY, USA"
2763,"Jamesport, NY, USA"
2764,"6244351, NY, USA"
2765,"AMSTERDAM, NY, USA"
2766,"Colden, NY, USA"
2767,"East Berne, NY, USA"
2768,"Ravena, NY, USA"
2769,"West Coxsackie, NY, USA"
2770,"Peru, NY, USA"
2771,"Goldens Bridge, NY, USA"
2772,"Locke, NY, USA"
2773,"Ballston, NY, USA"
2774,"Mt Tremper, NY, USA"
2775,"Cassadaga, NY, USA"
2776,"Brockport, NY, USA"
2777,"Wurtsboro, NY, USA"
2778,"BALLSTON LAKE, NY, USA"
2779,"RICHMOND HILL, NY, USA"
2780,"Queens,, NY, USA"
2781,"Vernon, NY, USA"
2782,"Stanfordville, NY, USA"
2783,"New hyde Park, NY, USA"
2784,"Ellenville, NY, USA"
2785,"MASPETH, NY, USA"
2786,"baldwin, NY, USA"
2787,"Le Roy, NY, USA"
2788,"TAPPAN, NY, USA"
2789,"East Jewett, NY, USA"
2790,"PORT JERVIS, NY, USA"
2791,"Earlville, NY, USA"
2792,"Olivebridge, NY, USA"
2793,"munnsville, NY, USA"
2794,"Cornwall on Hudson, NY, USA"
2795,"Thiells, NY, USA"
2796,"PALISADES, NY, USA"
2797,"Baychester, NY, USA"
2798,"Parish, NY, USA"
2799,"Sloansville, NY, USA"
2800,"W Camp, NY, USA"
2801,"Jamaica Estates, NY, USA"
2802,"Dalton, NY, USA"
2803,"MT VERNON, NY, USA"
2804,"floral park, NY, USA"
2805,"Kinderhook, NY, USA"
2806,"Auburn, NY, USA"
2807,"Far Rockawya, NY, USA"
2808,"Fultonville, NY, USA"
2809,"Summitville, NY, USA"
2810,"Naples, NY, USA"
2811,"Spencerport, NY, USA"
2812,"S Ozone park, NY, USA"
2813,"Katonah, NY, USA"
2814,"Moriches, NY, USA"
2815,"staten Island, NY, USA"
2816,"Fredonia, NY, USA"
2817,"DIX HILLS, NY, USA"
2818,"white stone, NY, USA"
2819,"Apalachin, NY, USA"
2820,"Vermontville, NY, USA"
2821,"Lake George, NY, USA"
2822,"Port Byron, NY, USA"
2823,"buffalo, NY, USA"
2824,"Smallwood, NY, USA"
2825,"Mountain Dale, NY, USA"
2826,"Fonda, NY, USA"
2827,"Oneida, NY, USA"
2828,"Cortland, NY, USA"
2829,"Bayside Hills, NY, USA"
2830,"Quuens, NY, USA"
2831,"Ulster Park, NY, USA"
2832,"deer park, NY, USA"
2833,"Stewart Manor, NY, USA"
2834,"Greece, NY, USA"
2835,"West Harrison, NY, USA"
2836,"SARATOGA SPGS, NY, USA"
2837,"Himrod, NY, USA"
2838,"Clintondale, NY, USA"
2839,"Cincinnatus, NY, USA"
2840,"CONGERS,, NY, USA"
2841,"LITTLE NECK, NY, USA"
2842,"merrick, NY, USA"
2843,"Hammondsport, NY, USA"
2844,"Valatie, NY, USA"
2845,"Blue Mtn Lake, NY, USA"
2846,"KERHONKSON, NY, USA"
2847,"MONROE, NY, USA"
2848,"Hastings Hdsn, NY, USA"
2849,"Central Nyack, NY, USA"
2850,"Canaan, NY, USA"
2851,"EAST BERNE, NY, USA"
2852,"STONY POINT, NY, USA"
2853,"medford, NY, USA"
2854,"Stonybrook, NY, USA"
2855,"WEST HAVERSTRAW, NY, USA"
2856,"Croton Hdson, NY, USA"
2857,"St Johnsville, NY, USA"
2858,"Elma, NY, USA"
2859,"Jordan, NY, USA"
2860,"AuSable Forks, NY, USA"
2861,"Petersburg, NY, USA"
2862,"Franklinville, NY, USA"
2863,"Bay Port, NY, USA"
2864,"Cornwall-on-Hudson, NY, USA"
2865,"HIGHLAND FALLS, NY, USA"
2866,"Mohawk, NY, USA"
2867,"Forrest Hills, NY, USA"
2868,"Elba, NY, USA"
2869,"Belle Harbor, NY, USA"
2870,"Buffal, NY, USA"
2871,"L Success, NY, USA"
2872,"Mt Remper, NY, USA"
2873,"Castleton on Hudson, NY, USA"
2874,"Port, NY, USA"
2875,"Middleton, NY, USA"
2876,"West Shokan, NY, USA"
2877,"Lewis, NY, USA"
2878,"Ossingin, NY, USA"
2879,"GREAT NECK, NY, USA"
2880,"Star lake, NY, USA"
2881,"Larchamont, NY, USA"
2882,"Little Falls, NY, USA"
2883,"Palisades, NY, USA"
2884,"Holmes, NY, USA"
2885,"Amenia, NY, USA"
2886,"mount marion, NY, USA"
2887,"Willow, NY, USA"
2888,"Crompond, NY, USA"
2889,"WEST HARRISON, NY, USA"
2890,"Highmount, NY, USA"
2891,"CIRCLEVILLE, NY, USA"
2892,"Manhasset, NY, USA"
2893,"MONTROSE, NY, USA"
2894,"Eldred, NY, USA"
2895,"Poestenkill, NY, USA"
2896,"SLINGERLANDS, NY, USA"
2897,"Owego, NY, USA"
2898,"GARRISON, NY, USA"
2899,"Loraine, NY, USA"
2900,"syracuse, NY, USA"
2901,"Penfield, NY, USA"
2902,"Sparrowbush, NY, USA"
2903,"Alexander, NY, USA"
2904,"FRESH MEADOWS, NY, USA"
2905,"Hartford, NY, USA"
2906,"McGraw, NY, USA"
2907,"Camillus, NY, USA"
2908,"Walworth, NY, USA"
2909,"Holley, NY, USA"
2910,"Round Top, NY, USA"
2911,"Mt Marion, NY, USA"
2912,"Sparkill, NY, USA"
2913,"Rensselaervl, NY, USA"
2914,"SPRNGFLD GDNS, NY, USA"
2915,"Whitehall, NY, USA"
2916,"Elizabethtown, NY, USA"
2917,"Richmond HIll, NY, USA"
2918,"Akron, NY, USA"
2919,"Dix HIlls, NY, USA"
2920,"JOHNSTOWN, NY, USA"
2921,"WEST NYACK, NY, USA"
2922,"Melrose, NY, USA"
2923,"Queens VLG, NY, USA"
2924,"Henrietta, NY, USA"
2925,"mt kisco, NY, USA"
2926,"Sterling, NY, USA"
2927,"Bellrose, NY, USA"
2928,"HOPEWELL JCT, NY, USA"
2929,"West Falls, NY, USA"
2930,"Highland Hills, NY, USA"
2931,"richmond hill, NY, USA"
2932,"Central ISlip, NY, USA"
2933,"Monsey, NY, USA"
2934,"East Rochester, NY, USA"
2935,"Bowmansville, NY, USA"
2936,"Jamestown, NY, USA"
2937,"HYDE PARK, NY, USA"
2938,"Latham,, NY, USA"
2939,"Sparrow Bush, NY, USA"
2940,"BLAUVELT, NY, USA"
2941,"VALLEY COTTAGE, NY, USA"
2942,"Corning, NY, USA"
2943,"Flusing, NY, USA"
2944,"Brighton, NY, USA"
2945,"Farmngville, NY, USA"
2946,"CORONA, NY, USA"
2947,"Lumberland, NY, USA"
2948,"Lyndonville, NY, USA"
2949,"Thompson Ridge, NY, USA"
2950,"East patchogue, NY, USA"
2951,"Marcy, NY, USA"
2952,"Walkill, NY, USA"
2953,"SHIRLEY, NY, USA"
2954,"Hoosick Falls , New York, NY, USA"
2955,"CASTLETON, NY, USA"
2956,"Palenville,, NY, USA"
2957,"schenectady, NY, USA"
2958,"Bergen, NY, USA"
2959,"VERPLANCK, NY, USA"
2960,"SCOTIA, NY, USA"
2961,"Schodack Landing, NY, USA"
2962,"Horseheads, NY, USA"
2963,"Schehectady, NY, USA"
2964,"Vly Cottage, NY, USA"
2965,"Yonker, NY, USA"
2966,"HOWARD BEACH, NY, USA"
2967,"BAYSIDE, NY, USA"
2968,"WATERVLIET, NY, USA"
2969,"Rush, NY, USA"
2970,"Westport, NY, USA"
2971,"Putnam Station, NY, USA"
2972,"Brooklyn NY, NY, USA"
2973,"Plainedge, NY, USA"
2974,"NEW WINDSOR, NY, USA"
2975,"Ancram, NY, USA"
2976,"Lake View, NY, USA"
2977,"Earlton,, NY, USA"
2978,"Plattsburgh, NY, USA"
2979,"VLY Cottage, NY, USA"
2980,"HIGHLAND MILLS, NY, USA"
2981,"CAMPBELL HALL, NY, USA"
2982,"Brookville, NY, USA"
2983,"Fulton, NY, USA"
2984,"Hastings on hudson, NY, USA"
2985,"ROCK HILL, NY, USA"
2986,"Tannersville, NY, USA"
2987,"South Ozone park, NY, USA"
2988,"REXFORD, NY, USA"
2989,"GLENMONT, NY, USA"
2990,"Tonowanda, NY, USA"
2991,"Rosdale, NY, USA"
2992,"Paradox, NY, USA"
2993,"Lake Luzerne, NY, USA"
2994,"ROSEDALE, NY, USA"
2995,"Milbrook, NY, USA"
2996,"Fresh Meadow, NY, USA"
2997,"Waterville, NY, USA"
2998,"Yorktown Hts, NY, USA"
2999,"PLEASANT VALLEY, NY, USA"
3000,"Westtown, NY, USA"
3001,"Croton Hdsn, NY, USA"
3002,"Clarence Center, NY, USA"
3003,"Fort Hunter, NY, USA"
3004,"Cropseyville, NY, USA"
3005,"HARRISON, NY, USA"
3006,"Milton, NY, USA"
3007,"Houghton, NY, USA"
3008,"Schehenctady, NY, USA"
3009,"Port washington, NY, USA"
3010,"PORT CHESTER, NY, USA"
3011,"Colton, NY, USA"
3012,"Geneva, NY, USA"
3013,"Springfield Garden, NY, USA"
3014,"CROTON ON HUDSON, NY, USA"
3015,"ORANGEBURG, NY, USA"
3016,"Cayuga, NY, USA"
3017,"Hartwick, NY, USA"
3018,"West Clarksville, NY, USA"
3019,"Hillsdale, NY, USA"
3020,"HastingsonHudson, NY, USA"
3021,"Watkins Glen, NY, USA"
3022,"Leicester, NY, USA"
3023,"old bethpage, NY, USA"
3024,"Rye Town, NY, USA"
3025,"South Richmond HIll, NY, USA"
3026,"Summit, NY, USA"
3027,"Danby, NY, USA"
3028,"Hammond, NY, USA"
3029,"WAPPINGRS FLS, NY, USA"
3030,"Albion, NY, USA"
3031,"Worchester, NY, USA"
3032,"BRONXVILLE, NY, USA"
3033,"RYE BROOK, NY, USA"
3034,"Angola, NY, USA"
3035,"Moreau, NY, USA"
3036,"Saint Alban, NY, USA"
3037,"Speculator, NY, USA"
3038,"West Monroe, NY, USA"
3039,"Chestertown, NY, USA"
3040,"Phoenix, NY, USA"
3041,"Fabius, NY, USA"
3042,"Poughkeepsi, NY, USA"
3043,"S GLENS FALLS, NY, USA"
3044,"SAUGERTIES, NY, USA"
3045,"Silver Creek, NY, USA"
3046,"New windsor, NY, USA"
3047,"West Fulton, NY, USA"
3048,"BREWSTER, NY, USA"
3049,"STONY BROOK, NY, USA"
3050,"WALDEN, NY, USA"
3051,"S OZONE PARK, NY, USA"
3052,"Hillburn, NY, USA"
3053,"Wilimington, NY, USA"
3054,"Palmer, NY, USA"
3055,"Indian Lake, NY, USA"
3056,"Minerva, NY, USA"
3057,"Preble, NY, USA"
3058,"Cntral Islip, NY, USA"
3059,"Glenford, NY, USA"
3060,"West Kill, NY, USA"
3061,"OTEGO, NY, USA"
3062,"Amity Harbor, NY, USA"
3063,"Skaneateles, NY, USA"
3064,"Whitney Point, NY, USA"
3065,"Staten Isalnd, NY, USA"
3066,"WORCESTER, NY, USA"
3067,"N Merrick, NY, USA"
3068,"Todt Hill, NY, USA"
3069,"Bronx,, NY, USA"
3070,"Lake Peekskill, NY, USA"
3071,"Sackets Harbor, NY, USA"
3072,"Schenectady,, NY, USA"
3073,"islip, NY, USA"
3074,"Boonville, NY, USA"
3075,"Street, NY, USA"
3076,"Otego, NY, USA"
3077,"Earlton, NY, USA"
3078,"Duanesburg, NY, USA"
3079,"Groveland, NY, USA"
3080,"S Richmond HL, NY, USA"
3081,"Fairport, NY, USA"
3082,"Old Forge, NY, USA"
3083,"ROCK CITY FALLS, NY, USA"
3084,"Bellrose Manor, NY, USA"
3085,"Wappingrs Fls, NY, USA"
3086,"Laurel Hollow, NY, USA"
3087,"patchogue, NY, USA"
3088,"Great Kills, NY, USA"
3089,"New Baltimore, NY, USA"
3090,"Attica, NY, USA"
3091,"Massapequa park, NY, USA"
3092,"Keesville, NY, USA"
3093,"woodmere, NY, USA"
3094,"Lagrangevl, NY, USA"
3095,"S Floral Park, NY, USA"
3096,"Pulteney, NY, USA"
3097,"Morrisville, NY, USA"
3098,"west babylon, NY, USA"
3099,"Niverville, NY, USA"
3100,"South Fallsburg, NY, USA"
3101,"Hamilton, NY, USA"
3102,"Nelsonville, NY, USA"
3103,"LeRoy, NY, USA"
3104,"ARDSLEY, NY, USA"
3105,"WEBSTER, NY, USA"
3106,"Springwater, NY, USA"
3107,"W HAVERSTRAW, NY, USA"
3108,"MAYFIELD, NY, USA"
3109,"QueenS, NY, USA"
3110,"Rainbow Lake, NY, USA"
3111,"Jamiaca, NY, USA"
3112,"Wyoming, NY, USA"
3113,"North Syracuse, NY, USA"
3114,"Saratoga, NY, USA"
3115,"Austerlitz, NY, USA"
3116,"93-06 208TH ST, NY, USA"
3117,"UPPER NYACK, NY, USA"
3118,"Mount Hope, NY, USA"
3119,"Rossie, NY, USA"
3120,"Spencertown, NY, USA"
3121,"Middlegrove, NY, USA"
3122,"new rochelle, NY, USA"
3123,"Frankfort, NY, USA"
3124,"Eatons Neck, NY, USA"
3125,"Tunnel, NY, USA"
3126,"Haines Fls, NY, USA"
3127,"Painted Post, NY, USA"
3128,"Hopewell Jct, NY, USA"
3129,"Esopus, NY, USA"
3130,"PLEASANT VLY, NY, USA"
3131,"CHESTNUT RDG, NY, USA"
3132,"Brant Lake, NY, USA"
3133,"Kendall, NY, USA"
3134,"South Nyack, NY, USA"
3135,"Slate Hill, NY, USA"
3136,"South New Berlin, NY, USA"
3137,"S Setauket, NY, USA"
3138,"Hastings, NY, USA"
3139,"Stephentown,, NY, USA"
3140,"Dundee, NY, USA"
3141,"TROY, NY, USA"
3142,"North Salem, NY, USA"
3143,"Newport, NY, USA"
3144,"Mannsville, NY, USA"
3145,"Dewitt, NY, USA"
3146,"New City NY, NY, USA"
3147,"Guildeland, NY, USA"
3148,"West Amherst, NY, USA"
3149,"Springfld Gdns, NY, USA"
3150,"east northport, NY, USA"
3151,"Philmont, NY, USA"
3152,"N Petersburg, NY, USA"
3153,"TARRYTOWN, NY, USA"
3154,"North Patchogue, NY, USA"
3155,"Baiting Hollow, NY, USA"
3156,"Marion, NY, USA"
3157,"GANSEVOORT, NY, USA"
3158,"Essex, NY, USA"
3159,"Roscoe, NY, USA"
3160,"GLENS FALLS, NY, USA"
3161,"ALTAMONT, NY, USA"
3162,"Belle Terre, NY, USA"
3163,"astoria, NY, USA"
3164,"orangeburg, NY, USA"
3165,"Roseboom,, NY, USA"
3166,"Pound Ridge, NY, USA"
3167,"Esperence, NY, USA"
3168,"WOODMERE, NY, USA"
3169,"Blodgett Mills, NY, USA"
3170,"Jamaic, NY, USA"
3171,"cambria heights, NY, USA"
3172,"Lowman, NY, USA"
3173,"Dover Plains, NY, USA"
3174,"Wheatley Hts, NY, USA"
3175,"Schroon Lake, NY, USA"
3176,"New Suffolk, NY, USA"
3177,"Niskyauna, NY, USA"
3178,"inwood, NY, USA"
3179,"Coeymans Hollow, NY, USA"
3180,"Fillmore, NY, USA"
3181,"SOUTH RICHMOND HILL, NY, USA"
3182,"Arlistico, NY, USA"
3183,"ELMSFORD, NY, USA"
3184,"Hankins, NY, USA"
3185,"Newcomb, NY, USA"
3186,"Palenvl, NY, USA"
3187,"CHEEKTOWAGA, NY, USA"
3188,"Barneveld, NY, USA"
3189,"East Farmingdale, NY, USA"
3190,"White Plans, NY, USA"
3191,"Coxsackie,, NY, USA"
3192,"White Sulphur Springs, NY, USA"
3193,"Cambria heights, NY, USA"
3194,"island park, NY, USA"
3195,"Cherstertown, NY, USA"
3196,"Cooperstown, NY, USA"
3197,"queensbury, NY, USA"
3198,"Tomkins Cove, NY, USA"
3199,"THIELLS, NY, USA"
3200,"Troy,, NY, USA"
3201,"Piffard, NY, USA"
3202,"Johnson City, NY, USA"
3203,"Little Valley, NY, USA"
3204,"Morrisonville, NY, USA"
3205,"Elmira, NY, USA"
3206,"Cape Vincent, NY, USA"
3207,"107-02 Sutter ave, NY, USA"
3208,"Rifton, NY, USA"
3209,"LAURELTON,, NY, USA"
3210,"amityville, NY, USA"
3211,"BELLPORT, NY, USA"
3212,"SARATOGA SPRINGS, NY, USA"
3213,"middletown, NY, USA"
3214,"WAPPINGERS FL, NY, USA"
3215,"VLY COTTAGE, NY, USA"
3216,"Greenfield Park, NY, USA"
3217,"Cortlandt Mnr, NY, USA"
3218,"Livonia, NY, USA"
3219,"Champlain, NY, USA"
3220,"SALISBURY MLS, NY, USA"
3221,"Eltingville, NY, USA"
3222,"Rock Hill, NY, USA"
3223,"Evans Mills, NY, USA"
3224,"Chestnut Ridge, NY, USA"
3225,"Savannah, NY, USA"
3226,"Sharon Springs, NY, USA"
3227,"Wappingrs Falls, NY, USA"
3228,"Barker, NY, USA"
3229,"Merrick/E Meadow, NY, USA"
3230,"Haines Falls, NY, USA"
3231,"Ulster Parck, NY, USA"
3232,"Hensonvl, NY, USA"
3233,"Scotchtown, NY, USA"
3234,"Cayuta, NY, USA"
3235,"Newfield, NY, USA"
3236,"Somers, NY, USA"
3237,"CORNWALL HDSN, NY, USA"
3238,"bellrose, NY, USA"
3239,"Moravia, NY, USA"
3240,"Verplanck, NY, USA"
3241,"Gansevoor, NY, USA"
3242,"saugerties, NY, USA"
3243,"Preston Hollow, NY, USA"
3244,"GREENWICH, NY, USA"
3245,"Woodbourne, NY, USA"
3246,"CHESTER, NY, USA"
3247,"Great Valley, NY, USA"
3248,"Town of Poughkeepsie, NY, USA"
3249,"Olive Brdg, NY, USA"
3250,"Glenwood, NY, USA"
3251,"north collins, NY, USA"
3252,"brookyln, NY, USA"
3253,"New WIndsor, NY, USA"
3254,"Cornwall-On-Hudson, NY, USA"
3255,"Hilton, NY, USA"
3256,"Andover, NY, USA"
3257,"ROCK TAVERN, NY, USA"
3258,"Pleasant Vly, NY, USA"
3259,"Cato, NY, USA"
3260,"Mount Morris, NY, USA"
3261,"Climax, NY, USA"
3262,"Delevan, NY, USA"
3263,"Machias, NY, USA"
3264,"Candor, NY, USA"
3265,"Laurington, NY, USA"
3266,"Porter Corners, NY, USA"
3267,"Chautauqua, NY, USA"
3268,"Lodi, NY, USA"
3269,"Van Etten, NY, USA"
3270,"Portland, NY, USA"
3271,"Buskirk, NY, USA"
3272,"Fresh MEadows, NY, USA"
3273,"Hopewell JCT, NY, USA"
3274,"East Yaphank, NY, USA"
3275,"WALLKILL, NY, USA"
3276,"Hannacroix, NY, USA"
3277,"Orenageburg, NY, USA"
3278,"HOLLIS, NY, USA"
3279,"Fayetteville, NY, USA"
3280,"Glenmont,, NY, USA"
3281,"Rock City Falls, NY, USA"
3282,"HIGHLAND, NY, USA"
3283,"North River, NY, USA"
3284,"Redwood NY, NY, USA"
3285,"Spring Glen, NY, USA"
3286,"Verona, NY, USA"
3287,"Schenevus, NY, USA"
3288,"Aurora, NY, USA"
3289,"east syracuse, NY, USA"
3290,"Rotterdam Jct, NY, USA"
3291,"long beach, NY, USA"
3292,"HUDSON FALLS, NY, USA"
3293,"STATEN ISLAND,, NY, USA"
3294,"Richmond, NY, USA"
3295,"Floral PArk, NY, USA"
3296,"Harford, NY, USA"
3297,"jamesville, NY, USA"
3298,"Alcove, NY, USA"
3299,"sayville, NY, USA"
3300,"Grandview, NY, USA"
3301,"Irving, NY, USA"
3302,"Nicholville, NY, USA"
3303,"Cambria Hieghts, NY, USA"
